dates,Temperature_Deviations
1907M11,-0.46
1907M12,-0.35
1908M01,-0.48
1908M02,-0.30
1908M03,-0.41
1908M04,-0.40
1908M05,-0.20
1908M06,-0.24
1908M07,-0.19
1908M08,-0.34
1908M09,-0.17
1908M10,-0.34
1908M11,-0.57
1908M12,-0.33
1909M01,-0.63
1909M02,-0.28
1909M03,-0.30
1909M04,-0.33
1909M05,-0.39
1909M06,-0.23
1909M07,-0.14
1909M08,-0.01
1909M09,-0.09
1909M10,-0.07
1909M11,0.04
1909M12,-0.32
1910M01,-0.33
1910M02,-0.19
1910M03,-0.43
1910M04,-0.30
1910M05,-0.18
1910M06,-0.25
1910M07,-0.28
1910M08,-0.01
1910M09,-0.09
1910M10,-0.23
1910M11,-0.24
1910M12,-0.35
1911M01,-0.50
1911M02,-0.50
1911M03,-0.42
1911M04,-0.32
1911M05,-0.30
1911M06,-0.31
1911M07,-0.23
1911M08,-0.26
1911M09,-0.29
1911M10,-0.13
1911M11,0.10
1911M12,-0.16
1912M01,-0.02
1912M02,0.04
1912M03,-0.31
1912M04,-0.02
1912M05,-0.05
1912M06,0.14
1912M07,-0.40
1912M08,-0.37
1912M09,-0.39
1912M10,-0.41
1912M11,-0.18
1912M12,-0.15
1913M01,-0.25
1913M02,-0.34
1913M03,-0.29
1913M04,-0.18
1913M05,-0.44
1913M06,-0.26
1913M07,-0.17
1913M08,-0.17
1913M09,-0.21
1913M10,-0.19
1913M11,-0.03
1913M12,0.15
1914M01,0.06
1914M02,-0.05
1914M03,0.03
1914M04,-0.13
1914M05,-0.02
1914M06,0.05
1914M07,-0.09
1914M08,-0.11
1914M09,-0.05
1914M10,0.08
1914M11,-0.06
1914M12,0.05
1915M01,-0.14
1915M02,0.01
1915M03,-0.06
1915M04,0.06
1915M05,0.02
1915M06,-0.06
1915M07,0.02
1915M08,0.07
1915M09,0.24
1915M10,0.08
1915M11,0.13
1915M12,-0.04
1916M01,0.00
1916M02,0.02
1916M03,-0.20
1916M04,-0.13
1916M05,-0.13
1916M06,-0.31
1916M07,-0.22
1916M08,-0.16
1916M09,-0.03
1916M10,-0.07
1916M11,-0.23
1916M12,-0.59
1917M01,-0.42
1917M02,-0.52
1917M03,-0.59
1917M04,-0.53
1917M05,-0.71
1917M06,-0.37
1917M07,-0.01
1917M08,-0.31
1917M09,-0.25
1917M10,-0.39
1917M11,-0.33
1917M12,-0.73
1918M01,-0.62
1918M02,-0.41
1918M03,-0.45
1918M04,-0.45
1918M05,-0.55
1918M06,-0.40
1918M07,-0.40
1918M08,-0.25
1918M09,-0.12
1918M10,0.10
1918M11,-0.23
1918M12,-0.33
1919M01,-0.37
1919M02,-0.17
1919M03,0.00
1919M04,-0.02
1919M05,-0.14
1919M06,-0.25
1919M07,-0.14
1919M08,-0.07
1919M09,-0.26
1919M10,-0.08
1919M11,-0.37
1919M12,-0.17
1920M01,0.04
1920M02,-0.21
1920M03,0.02
1920M04,0.03
1920M05,-0.24
1920M06,-0.14
1920M07,0.07
1920M08,-0.08
1920M09,-0.07
1920M10,-0.17
1920M11,-0.08
1920M12,-0.38
1921M01,-0.11
1921M02,-0.12
1921M03,-0.10
1921M04,-0.10
1921M05,-0.07
1921M06,0.00
1921M07,-0.02
1921M08,-0.21
1921M09,-0.09
1921M10,-0.09
1921M11,-0.10
1921M12,-0.08
1922M01,-0.24
1922M02,-0.39
1922M03,-0.10
1922M04,0.08
1922M05,-0.27
1922M06,-0.21
1922M07,-0.03
1922M08,-0.12
1922M09,-0.13
1922M10,-0.18
1922M11,-0.09
1922M12,-0.01
1923M01,-0.27
1923M02,-0.27
1923M03,-0.20
1923M04,-0.28
1923M05,-0.21
1923M06,-0.24
1923M07,-0.42
1923M08,-0.29
1923M09,-0.11
1923M10,-0.05
1923M11,0.11
1923M12,0.13
1924M01,-0.16
1924M02,-0.34
1924M03,-0.05
1924M04,-0.25
1924M05,-0.19
1924M06,-0.13
1924M07,0.02
1924M08,-0.11
1924M09,-0.07
1924M10,-0.15
1924M11,0.05
1924M12,-0.22
1925M01,-0.42
1925M02,-0.27
1925M03,-0.13
1925M04,-0.09
1925M05,-0.11
