"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"OCT 1992",1123,417.0,293.0,999.0,1965.50,81.440,271.612,2081.39
"NOV 1992",836,348.0,225.0,713.0,1989.52,128.607,230.848,2095.52
"DIC 1992",731,351.0,206.0,586.0,1646.67,100.172,318.514,1807.52
"ENE 1993",965,376.0,230.0,819.0,1637.52,111.268,159.446,1629.66
"FEB 1993",961,386.0,191.0,766.0,1705.05,128.082,222.168,1843.19
"MAR 1993",1098,549.0,244.0,793.0,1933.47,199.276,226.862,2090.31
"ABR 1993",1073,589.0,211.0,695.0,1877.82,173.226,290.191,1988.76
"MAY 1993",1239,561.0,214.0,892.0,2081.55,170.624,274.280,1983.47
"JUN 1993",1206,560.0,206.0,852.0,1980.00,286.177,251.755,2093.48
"JUL 1993",824,409.0,241.0,656.0,2140.44,190.793,285.968,2198.70
"AGO 1993",1100,374.0,167.0,893.0,1859.45,252.479,177.438,1754.42
"SEP 1993",1133,441.0,307.0,999.0,1937.30,237.638,197.209,1952.06
"OCT 1993",1269,463.0,273.0,1079.0,2054.56,302.367,171.023,1733.98
"NOV 1993",1099,492.0,295.0,902.0,1861.30,281.461,127.350,1825.42
"DIC 1993",993,476.0,237.0,754.0,1769.78,312.393,171.599,1647.58
"ENE 1994",959,466.0,301.0,794.0,1579.61,198.075,183.588,1515.70
"FEB 1994",1010,561.0,221.0,670.0,1851.59,349.073,178.610,1727.99
"MAR 1994",1182,624.0,328.0,886.0,2065.49,212.138,189.492,2156.91
"ABR 1994",1155,516.0,291.0,930.0,2111.58,321.071,218.425,2004.57
"MAY 1994",1286,571.0,319.0,1034.0,2288.46,323.317,198.580,2098.61
"JUN 1994",1182,588.0,325.0,919.0,2208.21,286.748,185.457,2194.75
"JUL 1994",898,420.0,258.0,736.0,2335.35,324.303,187.952,2043.16
"AGO 1994",1096,362.0,209.0,943.0,2096.06,269.894,164.275,2039.78
"SEP 1994",1238,473.0,359.0,1124.0,2146.85,337.968,206.786,2146.92
"OCT 1994",1245,486.0,402.0,1161.0,2243.58,204.622,147.549,2022.58
"NOV 1994",1155,569.0,365.0,951.0,2080.78,302.424,171.908,2123.50
"DIC 1994",1038,348.0,293.0,983.0,2123.19,309.847,217.200,1963.32
"ENE 1995",1120,415.0,393.0,1098.0,1930.51,288.911,204.626,1842.16
"FEB 1995",1071,402.0,411.0,1080.0,2023.03,243.473,175.929,1956.53
"MAR 1995",1191,517.0,413.0,1087.0,2238.66,262.779,261.063,2444.82
"ABR 1995",1245,366.0,381.0,1260.0,2374.02,282.174,223.905,2028.58
"MAY 1995",1346,467.0,504.0,1383.0,2398.02,406.032,264.859,2432.15
"JUN 1995",1302,488.0,469.0,1283.0,2421.38,261.529,202.285,2359.74
"JUL 1995",898,367.0,395.0,926.0,2420.71,293.626,235.589,2192.32
"AGO 1995",1073,281.0,362.0,1154.0,2046.82,248.749,203.487,2024.01
"SEP 1995",1272,382.0,534.0,1424.0,2172.99,338.929,208.087,2081.34
"OCT 1995",1221,449.0,503.0,1275.0,2309.84,326.975,248.572,2209.43
"NOV 1995",1120,443.0,512.0,1189.0,2123.14,282.558,246.177,2168.66
"DIC 1995",943,348.0,470.0,1065.0,1962.73,247.089,322.652,1718.59
"ENE 1996",994,455.0,582.0,1121.0,1646.68,321.646,263.328,1811.43
"FEB 1996",922,383.0,454.0,993.0,1801.64,252.481,201.610,1819.68
"MAR 1996",1093,486.0,527.0,1134.0,2222.91,347.160,218.583,2045.58
"ABR 1996",1189,484.0,481.0,1186.0,2109.12,277.843,292.081,2129.12
"MAY 1996",1207,484.0,342.0,1065.0,2197.84,337.336,294.962,2261.47
"JUN 1996",1127,490.0,387.0,1024.0,2380.53,356.969,294.434,2135.11
"JUL 1996",680,449.0,417.0,648.0,2319.77,367.756,265.810,2306.71
"AGO 1996",1042,322.0,325.0,1045.0,2196.69,466.563,327.922,2024.46
"SEP 1996",1122,464.0,504.0,1162.0,2321.58,309.256,239.969,2224.72
"OCT 1996",972,559.0,588.0,1001.0,2219.02,324.035,293.044,2356.56
"NOV 1996",933,439.0,521.0,1015.0,2167.65,282.341,223.235,2001.53
"DIC 1996",873,448.0,402.0,827.0,1822.74,235.774,252.728,1610.59
"ENE 1997",952,488.0,499.0,963.0,1477.53,272.711,263.381,1729.18
"FEB 1997",876,349.0,618.0,1145.0,1822.85,332.133,174.821,1835.03
"MAR 1997",1059,423.0,523.0,1159.0,2522.53,321.752,272.595,2153.36
"ABR 1997",1270,554.0,601.0,1317.0,2333.18,337.152,233.211,2462.70
"MAY 1997",1330,469.0,672.0,1533.0,2594.83,370.201,250.972,2416.03
"JUN 1997",1229,515.0,599.0,1313.0,2470.78,367.227,195.469,2347.08
"JUL 1997",836,480.0,537.0,893.0,2607.14,252.052,242.417,2673.14
"AGO 1997",1242,292.0,368.0,1318.0,2526.29,341.021,198.178,2103.02
"SEP 1997",1318,420.0,572.0,1470.0,2388.82,254.706,191.263,2454.66
